REF_DATE,GEO,Gender,Type of corporation,Industry,VALUE
2016,"Canada, total",Women,Total all corporations,Finance,1134.0
2016,"Canada, total",Women,Total all corporations,Finance,1553.0
2016,"Canada, total",Women,Total all corporations,Finance,322.0
2016,"Canada, total",Women,Total all corporations,Finance,1231.0
2016,"Canada, total",Women,Total all corporations,Finance,209.0
2016,"Canada, total",Women,Total all corporations,Finance,281.0
2016,"Canada, total",Women,Total all corporations,Finance,57.0
2016,"Canada, total",Women,Total all corporations,Finance,224.0
2016,"Canada, total",Women,Total all corporations,Finance,129.0
2016,"Canada, total",Women,Total all corporations,Finance,286.0
2016,"Canada, total",Women,Total all corporations,Finance,61.0
2016,"Canada, total",Women,Total all corporations,Finance,225.0
2016,"Canada, total",Women,Total all corporations,Finance,196.0
2016,"Canada, total",Women,Total all corporations,Finance,291.0
2016,"Canada, total",Women,Total all corporations,Finance,64.0
2016,"Canada, total",Women,Total all corporations,Finance,227.0
2016,"Canada, total",Women,Total all corporations,Finance,468.0
2016,"Canada, total",Women,Total all corporations,Finance,695.0
2016,"Canada, total",Women,Total all corporations,Finance,140.0
2016,"Canada, total",Women,Total all corporations,Finance,555.0
2016,"Canada, total",Women,Total all corporations,Finance,132.0
2016,"Canada, total",Women,Total all corporations,Utilities,96.0
2016,"Canada, total",Women,Total all corporations,Utilities,134.0
2016,"Canada, total",Women,Total all corporations,Utilities,35.0
2016,"Canada, total",Women,Total all corporations,Utilities,99.0
2016,"Canada, total",Women,Total all corporations,Utilities,6.0
2016,"Canada, total",Women,Total all corporations,Utilities,26.0
2016,"Canada, total",Women,Total all corporations,Utilities,4.0
2016,"Canada, total",Women,Total all corporations,Utilities,22.0
2016,"Canada, total",Women,Total all corporations,Utilities,2.0
2016,"Canada, total",Women,Total all corporations,Utilities,19.0
2016,"Canada, total",Women,Total all corporations,Utilities,6.0
2016,"Canada, total",Women,Total all corporations,Utilities,13.0
2016,"Canada, total",Women,Total all corporations,Utilities,15.0
2016,"Canada, total",Women,Total all corporations,Utilities,22.0
2016,"Canada, total",Women,Total all corporations,Utilities,5.0
2016,"Canada, total",Women,Total all corporations,Utilities,17.0
2016,"Canada, total",Women,Total all corporations,Utilities,71.0
2016,"Canada, total",Women,Total all corporations,Utilities,67.0
2016,"Canada, total",Women,Total all corporations,Utilities,20.0
2016,"Canada, total",Women,Total all corporations,Utilities,47.0
2016,"Canada, total",Women,Total all corporations,Utilities,2.0
2016,"Canada, total",Women,Total all corporations,Management of companies and enterprises,618.0
2016,"Canada, total",Women,Total all corporations,Management of companies and enterprises,661.0
2016,"Canada, total",Women,Total all corporations,Management of companies and enterprises,186.0
2016,"Canada, total",Women,Total all corporations,Management of companies and enterprises,475.0
2016,"Canada, total",Women,Total all corporations,Management of companies and enterprises,45.0
2016,"Canada, total",Women,Total all corporations,Management of companies and enterprises,91.0
2016,"Canada, total",Women,Total all corporations,Management of companies and enterprises,19.0
2016,"Canada, total",Women,Total all corporations,Management of companies and enterprises,72.0
2016,"Canada, total",Women,Total all corporations,Management of companies and enterprises,60.0
2016,"Canada, total",Women,Total all corporations,Management of companies and enterprises,111.0
2016,"Canada, total",Women,Total all corporations,Management of companies and enterprises,37.0
2016,"Canada, total",Women,Total all corporations,Management of companies and enterprises,74.0
