REF_DATE,GEO,Gender,Type of corporation,Industry,VALUE
2016,"Canada, total",Women,Government business entities,Total all industries,33.0
2016,"Canada, total",Women,Government business entities,Total all industries,27.0
2016,"Canada, total",Women,Government business entities,Total all industries,6.0
2016,"Canada, total",Women,Government business entities,Total all industries,21.0
2016,"Canada, total",Women,Government business entities,Total all industries,0.0
2016,"Canada, total",Women,Government business entities,Total all industries,11.0
2016,"Canada, total",Women,Government business entities,Total all industries,3.0
2016,"Canada, total",Women,Government business entities,Total all industries,8.0
2016,"Canada, total",Women,Government business entities,Total all industries,1.0
2016,"Canada, total",Women,Government business entities,Total all industries,6.0
2016,"Canada, total",Women,Government business entities,Total all industries,1.0
2016,"Canada, total",Women,Government business entities,Total all industries,5.0
2016,"Canada, total",Women,Government business entities,Total all industries,4.0
2016,"Canada, total",Women,Government business entities,Total all industries,8.0
2016,"Canada, total",Women,Government business entities,Total all industries,1.0
2016,"Canada, total",Women,Government business entities,Total all industries,7.0
2016,"Canada, total",Women,Government business entities,Total all industries,6.0
2016,"Canada, total",Women,Government business entities,Total all industries,2.0
2016,"Canada, total",Women,Government business entities,Total all industries,1.0
2016,"Canada, total",Women,Government business entities,Total all industries,1.0
2016,"Canada, total",Women,Government business entities,Total all industries,22.0
2016,"Canada, total",Women,Publicly traded corporations,Total all industries,520.0
2016,"Canada, total",Women,Publicly traded corporations,Total all industries,77.0
2016,"Canada, total",Women,Publicly traded corporations,Total all industries,40.0
2016,"Canada, total",Women,Publicly traded corporations,Total all industries,37.0
2016,"Canada, total",Women,Publicly traded corporations,Total all industries,6.0
2016,"Canada, total",Women,Publicly traded corporations,Total all industries,7.0
2016,"Canada, total",Women,Publicly traded corporations,Total all industries,3.0
2016,"Canada, total",Women,Publicly traded corporations,Total all industries,4.0
2016,"Canada, total",Women,Publicly traded corporations,Total all industries,5.0
2016,"Canada, total",Women,Publicly traded corporations,Total all industries,15.0
2016,"Canada, total",Women,Publicly traded corporations,Total all industries,4.0
2016,"Canada, total",Women,Publicly traded corporations,Total all industries,11.0
2016,"Canada, total",Women,Publicly traded corporations,Total all industries,15.0
2016,"Canada, total",Women,Publicly traded corporations,Total all industries,15.0
2016,"Canada, total",Women,Publicly traded corporations,Total all industries,8.0
2016,"Canada, total",Women,Publicly traded corporations,Total all industries,7.0
2016,"Canada, total",Women,Publicly traded corporations,Total all industries,483.0
2016,"Canada, total",Women,Publicly traded corporations,Total all industries,40.0
2016,"Canada, total",Women,Publicly traded corporations,Total all industries,25.0
2016,"Canada, total",Women,Publicly traded corporations,Total all industries,15.0
2016,"Canada, total",Women,Publicly traded corporations,Total all industries,11.0
2016,"Canada, total",Women,Private enterprises,Total all industries,2847.0
2016,"Canada, total",Women,Private enterprises,Total all industries,4173.0
