Unnamed: 0.1,Unnamed: 0,REF_DATE,GEO,DGUID,Gender,Type of corporation,Country,Industry,Size of enterprise,Executive,UNIT,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2,422,2016,"Canada, total",2021A000011124,Women,Total all corporations,Canada,Total all industries,Total all sizes,All officers ,Number,Number,223,units,0,v1428695348,1.1.1.2.1.1.2.1,4277.0,,,,0
44,464,2016,"Canada, total",2021A000011124,Women,Total all corporations,Canada,Finance,Total all sizes,All officers ,Number,Number,223,units,0,v1428693773,1.1.1.2.2.1.2.1,1553.0,,,,0
86,506,2016,"Canada, total",2021A000011124,Women,Total all corporations,Canada,Utilities,Total all sizes,All officers ,Number,Number,223,units,0,v1428695123,1.1.1.2.3.1.2.1,134.0,,,,0
128,548,2016,"Canada, total",2021A000011124,Women,Total all corporations,Canada,Management of companies and enterprises,Total all sizes,All officers ,Number,Number,223,units,0,v1428693323,1.1.1.2.4.1.2.1,661.0,,,,0
170,590,2016,"Canada, total",2021A000011124,Women,Total all corporations,Canada,Distributive trade,Total all sizes,All officers ,Number,Number,223,units,0,v1428694448,1.1.1.2.5.1.2.1,198.0,,,,0
212,632,2016,"Canada, total",2021A000011124,Women,Total all corporations,Canada,Energy,Total all sizes,All officers ,Number,Number,223,units,0,v1428694673,1.1.1.2.6.1.2.1,113.0,,,,0
254,674,2016,"Canada, total",2021A000011124,Women,Total all corporations,Canada,Manufacturing,Total all sizes,All officers ,Number,Number,223,units,0,v1428694223,1.1.1.2.7.1.2.1,172.0,,,,0
296,716,2016,"Canada, total",2021A000011124,Women,Total all corporations,Canada,Construction,Total all sizes,All officers ,Number,Number,223,units,0,v1428694898,1.1.1.2.8.1.2.1,163.0,,,,0
338,758,2016,"Canada, total",2021A000011124,Women,Total all corporations,Canada,Other industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428693998,1.1.1.2.9.1.2.1,1071.0,,,,0
380,800,2016,"Canada, total",2021A000011124,Women,Total all corporations,Canada,Unclassified industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428693548,1.1.1.2.10.1.2.1,212.0,,,,0
2102,17822,2016,"Canada, total",2021A000011124,Men,Total all corporations,Canada,Total all industries,Total all sizes,All officers ,Number,Number,223,units,0,v1428605348,1.2.1.2.1.1.2.1,10114.0,,,,0
2144,17864,2016,"Canada, total",2021A000011124,Men,Total all corporations,Canada,Finance,Total all sizes,All officers ,Number,Number,223,units,0,v1428603773,1.2.1.2.2.1.2.1,3069.0,,,,0
2186,17906,2016,"Canada, total",2021A000011124,Men,Total all corporations,Canada,Utilities,Total all sizes,All officers ,Number,Number,223,units,0,v1428605123,1.2.1.2.3.1.2.1,301.0,,,,0
2228,17948,2016,"Canada, total",2021A000011124,Men,Total all corporations,Canada,Management of companies and enterprises,Total all sizes,All officers ,Number,Number,223,units,0,v1428603323,1.2.1.2.4.1.2.1,1564.0,,,,0
2270,17990,2016,"Canada, total",2021A000011124,Men,Total all corporations,Canada,Distributive trade,Total all sizes,All officers ,Number,Number,223,units,0,v1428604448,1.2.1.2.5.1.2.1,514.0,,,,0
2312,18032,2016,"Canada, total",2021A000011124,Men,Total all corporations,Canada,Energy,Total all sizes,All officers ,Number,Number,223,units,0,v1428604673,1.2.1.2.6.1.2.1,480.0,,,,0
2354,18074,2016,"Canada, total",2021A000011124,Men,Total all corporations,Canada,Manufacturing,Total all sizes,All officers ,Number,Number,223,units,0,v1428604223,1.2.1.2.7.1.2.1,688.0,,,,0
2396,18116,2016,"Canada, total",2021A000011124,Men,Total all corporations,Canada,Construction,Total all sizes,All officers ,Number,Number,223,units,0,v1428604898,1.2.1.2.8.1.2.1,695.0,,,,0
2438,18158,2016,"Canada, total",2021A000011124,Men,Total all corporations,Canada,Other industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428603998,1.2.1.2.9.1.2.1,2437.0,,,,0
2480,18200,2016,"Canada, total",2021A000011124,Men,Total all corporations,Canada,Unclassified industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428603548,1.2.1.2.10.1.2.1,366.0,,,,0
4202,35222,2016,Newfoundland and Labrador,2021A000210,Women,Total all corporations,Canada,Total all industries,Total all sizes,All officers ,Number,Number,223,units,0,v1428695330,2.1.1.2.1.1.2.1,12.0,,,,0
4244,35264,2016,Newfoundland and Labrador,2021A000210,Women,Total all corporations,Canada,Finance,Total all sizes,All officers ,Number,Number,223,units,0,v1428693755,2.1.1.2.2.1.2.1,0.0,,,,0
4286,35306,2016,Newfoundland and Labrador,2021A000210,Women,Total all corporations,Canada,Utilities,Total all sizes,All officers ,Number,Number,223,units,0,v1428695105,2.1.1.2.3.1.2.1,2.0,,,,0
4328,35348,2016,Newfoundland and Labrador,2021A000210,Women,Total all corporations,Canada,Management of companies and enterprises,Total all sizes,All officers ,Number,Number,223,units,0,v1428693305,2.1.1.2.4.1.2.1,2.0,,,,0
4370,35390,2016,Newfoundland and Labrador,2021A000210,Women,Total all corporations,Canada,Distributive trade,Total all sizes,All officers ,Number,Number,223,units,0,v1428694430,2.1.1.2.5.1.2.1,0.0,,,,0
4412,35432,2016,Newfoundland and Labrador,2021A000210,Women,Total all corporations,Canada,Energy,Total all sizes,All officers ,Number,Number,223,units,0,v1428694655,2.1.1.2.6.1.2.1,0.0,,,,0
4454,35474,2016,Newfoundland and Labrador,2021A000210,Women,Total all corporations,Canada,Manufacturing,Total all sizes,All officers ,Number,Number,223,units,0,v1428694205,2.1.1.2.7.1.2.1,3.0,,,,0
