REF_DATE,Gender,GEO,VALUE,Industry,Type of corporation
2016,Women,"Canada, total",4277.0,Total all industries,Total all corporations
2016,Women,"Canada, total",1553.0,Finance,Total all corporations
2016,Women,"Canada, total",134.0,Utilities,Total all corporations
2016,Women,"Canada, total",661.0,Management of companies and enterprises,Total all corporations
2016,Women,"Canada, total",198.0,Distributive trade,Total all corporations
2016,Women,"Canada, total",113.0,Energy,Total all corporations
2016,Women,"Canada, total",172.0,Manufacturing,Total all corporations
2016,Women,"Canada, total",163.0,Construction,Total all corporations
2016,Women,"Canada, total",1071.0,Other industry,Total all corporations
2016,Women,"Canada, total",212.0,Unclassified industry,Total all corporations
2016,Women,"Canada, total",27.0,Total all industries,Government business entities
2016,Women,"Canada, total",4.0,Finance,Government business entities
2016,Women,"Canada, total",0.0,Utilities,Government business entities
2016,Women,"Canada, total",0.0,Management of companies and enterprises,Government business entities
2016,Women,"Canada, total",3.0,Distributive trade,Government business entities
2016,Women,"Canada, total",0.0,Energy,Government business entities
2016,Women,"Canada, total",0.0,Manufacturing,Government business entities
2016,Women,"Canada, total",0.0,Construction,Government business entities
2016,Women,"Canada, total",20.0,Other industry,Government business entities
2016,Women,"Canada, total",0.0,Unclassified industry,Government business entities
2016,Women,"Canada, total",77.0,Total all industries,Publicly traded corporations
2016,Women,"Canada, total",30.0,Finance,Publicly traded corporations
2016,Women,"Canada, total",6.0,Utilities,Publicly traded corporations
2016,Women,"Canada, total",20.0,Management of companies and enterprises,Publicly traded corporations
2016,Women,"Canada, total",0.0,Distributive trade,Publicly traded corporations
2016,Women,"Canada, total",0.0,Energy,Publicly traded corporations
2016,Women,"Canada, total",4.0,Manufacturing,Publicly traded corporations
2016,Women,"Canada, total",2.0,Construction,Publicly traded corporations
2016,Women,"Canada, total",13.0,Other industry,Publicly traded corporations
2016,Women,"Canada, total",2.0,Unclassified industry,Publicly traded corporations
2016,Women,"Canada, total",4173.0,Total all industries,Private enterprises
2016,Women,"Canada, total",1519.0,Finance,Private enterprises
2016,Women,"Canada, total",128.0,Utilities,Private enterprises
2016,Women,"Canada, total",641.0,Management of companies and enterprises,Private enterprises
2016,Women,"Canada, total",195.0,Distributive trade,Private enterprises
2016,Women,"Canada, total",113.0,Energy,Private enterprises
2016,Women,"Canada, total",168.0,Manufacturing,Private enterprises
2016,Women,"Canada, total",161.0,Construction,Private enterprises
2016,Women,"Canada, total",1038.0,Other industry,Private enterprises
2016,Women,"Canada, total",210.0,Unclassified industry,Private enterprises
2016,Women,"Canada, total",0.0,Total all industries,Unclassified enterprises
2016,Women,"Canada, total",0.0,Finance,Unclassified enterprises
2016,Women,"Canada, total",0.0,Utilities,Unclassified enterprises
2016,Women,"Canada, total",0.0,Management of companies and enterprises,Unclassified enterprises
2016,Women,"Canada, total",0.0,Distributive trade,Unclassified enterprises
2016,Women,"Canada, total",0.0,Energy,Unclassified enterprises
2016,Women,"Canada, total",0.0,Manufacturing,Unclassified enterprises
2016,Women,"Canada, total",0.0,Construction,Unclassified enterprises
2016,Women,"Canada, total",0.0,Other industry,Unclassified enterprises
2016,Women,"Canada, total",0.0,Unclassified industry,Unclassified enterprises
2016,Men,"Canada, total",10114.0,Total all industries,Total all corporations
2016,Men,"Canada, total",3069.0,Finance,Total all corporations
2016,Men,"Canada, total",301.0,Utilities,Total all corporations
2016,Men,"Canada, total",1564.0,Management of companies and enterprises,Total all corporations
2016,Men,"Canada, total",514.0,Distributive trade,Total all corporations
2016,Men,"Canada, total",480.0,Energy,Total all corporations
2016,Men,"Canada, total",688.0,Manufacturing,Total all corporations
2016,Men,"Canada, total",695.0,Construction,Total all corporations
2016,Men,"Canada, total",2437.0,Other industry,Total all corporations
2016,Men,"Canada, total",366.0,Unclassified industry,Total all corporations
2016,Men,"Canada, total",29.0,Total all industries,Government business entities
2016,Men,"Canada, total",0.0,Finance,Government business entities
